"id";"active";"name";"category";"priceNoVAT";"taxRules";"priceWholesale";"onSale";"discount";"discountPerecent";"discountFrom";"discountTo";"reference";"suplierReference";"suplier";"manufacturer";"EAN13";"UPC";"ecoTax";"width";"height";"depth";"weight";"deliveryDayCount";"deliveryDayCountNoWarehous";"quantity";"minimalQuantity";"lowStockLevel";"sendEmailIfLow";"visibility";"additionalShippingCost";"unity";"unitPrice";"shortDescription";"description";"tags";"metaTitle";"metaKeywords";"metaDescription";"urlRewrite";"textInStock";"textBackOrderAllowed";"availableForOrder";"productAvailableDate";"productCreationDate";"showPrice";"imageLinks";"imageAltTexts";"deleteImages";"feature";"onlyOnline";"condition";"customizeable";"uploadableFiles";"textFields";"actionIfOutOfStock";"virtualProduct";"fileURL";"amountOfAllowedDownloads";"expieryDate";"shopID";"advancedStockManagement";"dependsOnStock";"warehouse";"accesories"
"5382400";true;"Skrytý držák polic";"33100,39100";"0,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5382";"RP-demo5382";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Cena uvedena za kus.</p>";"";"Meta title-Skrytý držák polic";"Meta keywords-";"Meta description-";"skryty-drzak-polic";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5382/9654-Original.jpg,http://www.sisocz.cz/images/products/5382/9655-Original.jpg,http://www.sisocz.cz/images/products/5382/9656-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5383400";true;"Jazýček č.11 k zámkům série 1900";"19100";"5,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5383";"RP-demo5383";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Délka od osy 28mm.</p>";"";"Meta title-Jazýček č.11 k zámkům série 1900";"Meta keywords-";"Meta description-";"jazycek-c11-k-zamkum-serie-1900";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5383/8569-Original.jpg,http://www.sisocz.cz/images/products/5383/8570-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5384400";true;"Jazýček A10 k zámkům série 1900 + 5250";"19100";"10,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5384";"RP-demo5384";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Délka od osy 50mm.</p>";"";"Meta title-Jazýček A10 k zámkům série 1900 + 5250";"Meta keywords-";"Meta description-";"jazycek-a10-k-zamkum-serie-1900-5250";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5384/10033-Original.jpg,http://www.sisocz.cz/images/products/5384/10034-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5385400";true;"Jazýček č.9 + A01 k zámkům série 1900 + 5250";"19100";"0,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5385";"RP-demo5385";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Délka od osy 25mm.</p>";"";"Meta title-Jazýček č.9 + A01 k zámkům série 1900 + 5250";"Meta keywords-";"Meta description-";"jazycek-c9-a01-k-zamkum-serie-1900-5250";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5385/8575-Original.jpg,http://www.sisocz.cz/images/products/5385/8579-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5386400";true;"Jazýček č.15 k zámkům série 1900";"19100";"5,00";1;;"1";0;0;"2000-01-01";"2000-01-02";"RP-demo5386";"RP-demo5386";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Délka od osy 28mm.</p>";"";"Meta title-Jazýček č.15 k zámkům série 1900";"Meta keywords-";"Meta description-";"jazycek-c15-k-zamkum-serie-1900";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5386/8577-Original.jpg,http://www.sisocz.cz/images/products/5386/8578-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5387400";true;"Univerzální nábytkový zámek 1920 s klipem";"16100";"56,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5387";"RP-demo5387";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Zámek slouží k zamykání plechových boxů a skříní. Zámek je specifický tím, že <strong>klíč lze vyjmout pouze v zavřené poloze</strong>.</p>";"";"Meta title-Univerzální nábytkový zámek 1920 s klipem";"Meta keywords-";"Meta description-";"univerzalni-nabytkovy-zamek-1920-s-klipem";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5387/8671-Original.jpg,http://www.sisocz.cz/images/products/5387/8672-Original.jpg,http://www.sisocz.cz/images/products/5387/9171-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5388400";true;"Rozeta pro nábytkové zámky";"19100";"5,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5388";"RP-demo5388";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-Rozeta pro nábytkové zámky";"Meta keywords-";"Meta description-";"rozeta-pro-nabytkove-zamky";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5388/8685-Original.jpg,http://www.sisocz.cz/images/products/5388/8686-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5389400";true;"Podložka pro univerzální zámky";"19100";"2,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5389";"RP-demo5389";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-Podložka pro univerzální zámky";"Meta keywords-";"Meta description-";"podlozka-pro-univerzalni-zamky";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5389/8687-Original.jpg,http://www.sisocz.cz/images/products/5389/8688-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5390400";true;"Podložka kovová pro univerzální zámky";"19100";"3,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5390";"RP-demo5390";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-Podložka kovová pro univerzální zámky";"Meta keywords-";"Meta description-";"podlozka-kovova-pro-univerzalni-zamky";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5390/8689-Original.jpg,http://www.sisocz.cz/images/products/5390/8690-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5393400";true;"Kroužek pro slunečník";"10100";"133,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5393";"RP-demo5393";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-Kroužek pro slunečník";"Meta keywords-";"Meta description-";"krouzek-pro-slunecnik";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5393/9727-Original.jpg,http://www.sisocz.cz/images/products/5393/9728-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5394400";true;"Systém CLICK - spojovací část - samec";"6100";"6,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5394";"RP-demo5394";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Systém CLICK je určen pro montáž stěnových či stropních panelů. Montáž pomocí vrutu o ø5mm nebo pomocí lepidla.</p>";"";"Meta title-Systém CLICK - spojovací část - samec";"Meta keywords-";"Meta description-";"system-click-spojovaci-cast-samec";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5394/8782-Original.jpg,http://www.sisocz.cz/images/products/5394/9924-Original.jpg,http://www.sisocz.cz/images/products/5394/9925-Original.jpg,http://www.sisocz.cz/images/products/5394/9926-Original.jpg,http://www.sisocz.cz/images/products/5394/9927-Original.jpg,http://www.sisocz.cz/images/products/5394/10387-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5395400";true;"Systém CLICK - spojovací část - samice";"6100";"9,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5395";"RP-demo5395";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Systém CLICK je určen pro montáž stěnových či stropních panelů. Montáž pomocí vrutu o ø5mm nebo pomocí lepidla.</p>";"";"Meta title-Systém CLICK - spojovací část - samice";"Meta keywords-";"Meta description-";"system-click-spojovaci-cast-samice";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5395/9929-Original.jpg,http://www.sisocz.cz/images/products/5395/9930-Original.jpg,http://www.sisocz.cz/images/products/5395/9931-Original.jpg,http://www.sisocz.cz/images/products/5395/9932-Original.jpg,http://www.sisocz.cz/images/products/5395/9933-Original.jpg,http://www.sisocz.cz/images/products/5395/10388-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5396400";true;"Systém CLICK - označovací knoflík";"6100";"16,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5396";"RP-demo5396";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Označovací knoflík slouží k přesnému označení umístění druhé části páru (samce).</p>";"";"Meta title-Systém CLICK - označovací knoflík";"Meta keywords-";"Meta description-";"system-click-oznacovaci-knoflik";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5396/10323-Original.jpg,http://www.sisocz.cz/images/products/5396/10324-Original.jpg,http://www.sisocz.cz/images/products/5396/10325-Original.jpg,http://www.sisocz.cz/images/products/5396/10386-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5398400";true;"KD Systém - INVISIO typ 4034 klip - celozamykání";"6100";"9,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5398";"RP-demo5398";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-KD Systém - INVISIO typ 4034 klip - celozamykání";"Meta keywords-";"Meta description-";"kd-system-invisio-typ-4034-klip-celozamykani";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5398/10246-Original.jpg,http://www.sisocz.cz/images/products/5398/10247-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"5399400";true;"KD Systém - INVISIO typ 4035 klip - polozamykání";"6100";"9,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo5399";"RP-demo5399";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-KD Systém - INVISIO typ 4035 klip - polozamykání";"Meta keywords-";"Meta description-";"kd-system-invisio-typ-4035-klip-polozamykani";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/5399/10248-Original.jpg,http://www.sisocz.cz/images/products/5399/10249-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
