id;product_id;rank;title
7036;4917;NULL_VALUE;
7037;4917;NULL_VALUE;
7038;4917;NULL_VALUE;
7084;4908;3;
7085;4910;NULL_VALUE;
7086;4910;NULL_VALUE;
7087;4907;1;
7090;4909;NULL_VALUE;
7091;4909;NULL_VALUE;
7092;4906;NULL_VALUE;
7093;4906;NULL_VALUE;
7094;4898;NULL_VALUE;
7095;4898;NULL_VALUE;
7096;4898;NULL_VALUE;
7097;4898;NULL_VALUE;
7098;4899;NULL_VALUE;
7099;4899;NULL_VALUE;
7100;4895;NULL_VALUE;
7101;4895;NULL_VALUE;
7102;4896;1;
7104;4897;NULL_VALUE;
7105;4897;NULL_VALUE;
7106;4897;NULL_VALUE;
7125;4963;1;
7126;4963;2;
7127;4963;3;
7128;4950;1;
7129;4950;2;
7130;4946;1;
7131;4946;3;
7132;4945;1;
7133;4945;3;
7134;4948;1;
7135;4948;3;
7136;4949;1;
7137;4949;2;
7138;4951;1;
7139;4951;2;
7140;4947;1;
7141;4947;3;
7142;4944;NULL_VALUE;
7143;4944;NULL_VALUE;
7144;4944;NULL_VALUE;
7145;4944;NULL_VALUE;
7146;4954;1;
7147;4954;2;
7148;4954;3;
7149;4953;1;
7150;4953;2;
7151;4953;3;
7152;4960;NULL_VALUE;
7153;4960;NULL_VALUE;
7154;4960;NULL_VALUE;
7155;4959;NULL_VALUE;
7156;4959;NULL_VALUE;
7157;4959;NULL_VALUE;
7158;4961;NULL_VALUE;
7159;4961;NULL_VALUE;
7160;4961;NULL_VALUE;
7161;4961;NULL_VALUE;
7162;4962;NULL_VALUE;
7163;4962;NULL_VALUE;
7164;4962;NULL_VALUE;
7165;4957;1;
7166;4957;2;
7167;4957;3;
7168;4956;1;
7170;4956;3;
7171;4955;1;
7172;4955;2;
7173;4955;3;
7174;4958;1;
7175;4958;2;
7176;4958;3;
7177;4952;NULL_VALUE;
7178;4952;NULL_VALUE;
7179;4952;NULL_VALUE;
7180;4952;NULL_VALUE;
7181;4952;NULL_VALUE;
7182;4952;NULL_VALUE;
7183;4952;NULL_VALUE;
7198;4985;NULL_VALUE;
7199;4984;NULL_VALUE;
7200;4982;NULL_VALUE;
