id;product_id;value_id;price;default;note;rank;use_product_specific_note;use_product_specific_rank;use_product_specific_price;use_product_specific_image;optional
118;4734;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
119;4735;5;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
120;4735;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
121;4735;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
122;4736;5;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
123;4736;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
124;4736;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
125;4736;12;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
126;4736;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
127;4736;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
128;4736;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
129;4736;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
130;4733;40;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
131;4727;44;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
132;4734;44;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
133;4737;41;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
134;4737;9;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
135;4737;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
136;4737;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
137;4737;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
138;4738;5;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
140;4738;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
141;4738;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
142;4738;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
143;4739;2;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
144;4739;40;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
145;4739;9;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
146;4739;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
147;4739;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
148;4739;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
149;4739;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
150;4740;2;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
151;4740;42;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
152;4740;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
153;4740;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
154;4740;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
155;4740;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
156;4741;2;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
157;4741;45;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
159;4741;35;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
160;4741;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
161;4741;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
162;4742;2;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
163;4742;45;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
164;4742;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
165;4742;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
166;4742;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
167;4742;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
168;4742;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
169;4738;49;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
170;4741;48;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
171;4743;40;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
172;4743;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
173;4743;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
174;4743;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
175;4743;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
176;4743;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
187;4746;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
188;4746;53;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
189;4746;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
190;4746;40;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
191;4747;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
192;4747;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
194;4747;45;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
196;4748;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
197;4748;35;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
