id;h1;link;meta_keywords;meta_description;original_code;own_code;ean_code;vat_id;base_price;common_retail_price;shopping_price;discount;discount_type;stocked_items;minimal_count;product_availability_id;availability_description;guarantee;guarantee_unit;short_description;main_description;homepage;sale;recommended;show;supplier_id;producer_id;configuration_parameter_group_id;name;is_vat_included;facebook;social_plugin;new_product;discount_since;discount_to;show_top_category_description;show_2nd_top_category_description;show_3rd_top_category_description;max_cpc;toll_free;price_per_descriptive_parameter_id;meta_title;feed_name;categories;relatedProducts
4735;Nábytkový zámek roletový 855 tlačítkový;nabytkovy-zamek-roletovy-855-tlacitkovy;;;;1401462;;5;59,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek využívaný k zamykání roletových (žaluziových) dveří v horizontální i vertikální poloze.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek roletový 855 tlačítkový;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek roletový 855 tlačítkový;Nábytkový zámek roletový 855 tlačítkový;16;
4736;Nábytkový zámek bajonetový 1003;nabytkovy-zamek-bajonetovy-1003;;;;523bff306f0ce;;5;0,00;0,00;0,00;0,00;0;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek pro uzamykání posuvných dveří umístěných proti sobě. V případě nutnosti použití prodlužovacích čepů A-1009, možnost přiobjednání viz. Doplňky, díly a příslušenství.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek bajonetový 1003;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek bajonetový 1003;Nábytkový zámek bajonetový 1003;16;
4737;Nábytkový zámek roletový 2159;nabytkovy-zamek-roletovy-2159;;;;1401470;;5;124,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek využívaný k zamykání roletových (žaluziových) dveří v horizontální i vertikální poloze.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek roletový 2159;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek roletový 2159;Nábytkový zámek roletový 2159;16;
4738;Nábytkový zámek Verti;nabytkovy-zamek-verti;;;;1401405;;5;109,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek využívaný k uzamykání posuvných dveří.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek Verti;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek Verti;Nábytkový zámek Verti;16;
4739;Nábytkový zámek 5250;nabytkovy-zamek-5250;;;;524929e46ddc6;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek 5250;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek 5250;Nábytkový zámek 5250;14,16;
4740;Nábytkový zámek 919;nabytkovy-zamek-919;;;;1403005;;5;77,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;<p> 	str.23 dole</p> ;2;years;;;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek 919;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek 919;Nábytkový zámek 919;14,16;
4741;Univerzální nábytkový zámek 1216;univerzalni-nabytkovy-zamek-1216;;;;533d1a252aa7a;;5;0,00;0,00;0,00;0,00;0;NULL_VALUE;0,00;7;;2;years;;<p> 	Univerzální zámek pro zamykání dřevěných, plechových a prosklených boxů a skříní.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Univerzální nábytkový zámek 1216;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Univerzální nábytkový zámek 1216;Univerzální nábytkový zámek 1216;16;
4742;Univerzální nábytkový zámek 1916;univerzalni-nabytkovy-zamek-1916;;;;52492e82b4692;;5;0,00;0,00;0,00;0,00;0;NULL_VALUE;0,00;7;;2;years;;<p> 	Univerzální zámek pro zamykání dřevěných, plechových a prosklených boxů a skříní. Skladem pouze zámek z kónickým čelem (obrázek vpravo), zámek s oblým čelem (obrázek vlevo) jen na objednání.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Univerzální nábytkový zámek 1916;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Univerzální nábytkový zámek 1916;Univerzální nábytkový zámek 1916;16;
4743;Univerzální nábytkový zámek 1920;univerzalni-nabytkovy-zamek-1920;;;;524a7b4d277a9;;5;0,00;0,00;0,00;0,00;0;NULL_VALUE;0,00;7;;2;years;;<p> 	Univerzální zámek pro zamykání dřevěných, plechových a prosklených boxů a skříní. Skladem pouze zámky s kónickým čelem (obrázek vpravo), zámky s oblým čelem (obrázek vlevo) jen na objednání.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Univerzální nábytkový zámek 1920;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Univerzální nábytkový zámek 1920;Univerzální nábytkový zámek 1920;16;
4746;Univerzální nábytkový zámek 1920 trojhranný klíč;univerzalni-nabytkovy-zamek-1920-trojhranny-klic;;;;1404483;;5;56,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Univerzální zámek pro zamykání dřevěných, plechových a prosklených boxů a skříní. Klíč lze vytáhnout v otevřené i zavřené poloze.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Univerzální nábytkový zámek 1920 trojhranný klíč;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Univerzální nábytkový zámek 1920 trojhranný klíč;Univerzální nábytkový zámek 1920 trojhranný klíč;16;
